12463.50 	13108.96 	8293.10 	6542.61 	12963.46 	12463.50 	10859.57 
1243.25 	587.34 	604.33 	246.40 	723.33 	1663.67 	7069.03 
4512.61 	676.67 	557.67 	2671.20 	676.67 	697.67 	21250.81 
1330.00 	769.53 	2093.00 	1064.00 	1311.33 	1330.00 	11512.77 
5852.86 	3242.17 	4040.05 	1955.15 	7756.88 	5481.58 	9264.67 
2205.00 	322.00 	5152.97 	3068.63 	3289.13 	2205.00 	2205.00 
46929.17 	21896.00 	9063.00 	20250.07 	34412.58 	46929.17 	46929.17 
954.33 	2534.31 	40099.97 	763.47 	954.33 	954.33 	1311.63 
12694.50 	12694.50 	5289.28 	15290.10 	18031.13 	12694.50 	23367.75 
6156.23 	7908.87 	3465.00 	24750.13 	3530.72 	4005.56 	17002.27 
526.75 	633.50 	7844.67 	677.60 	15528.19 	633.50 	10299.09 
29714.62 	44208.68 	34726.63 	5002.53 	68472.45 	57275.67 	58667.00 
19874.10 	24750.13 	16885.22 	17614.68 	1480.88 	12965.78 	28372.67 
908.83 	3356.57 	568.10 	841.87 	1052.33 	1052.33 	1052.33 
34726.63 	15538.48 	11370.33 	8065.56 	10190.83 	16791.98 	15792.16 
37801.56 	11354.00 	9082.50 	9083.20 	25674.78 	37922.50 	37922.50 
1220.33 	5002.53 	784.16 	974.34 	1843.92 	1303.17 	2384.67 
15573.52 	27830.25 	7579.64 	27830.25 	4265.04 	4460.75 	4663.36 
739.67 	694.22 	592.67 	292.68 	801.50 	801.50 	739.67 
197.17 	3188.03 	157.50 	4234.67 	1079.94 	197.17 	197.17 
3195.50 	24750.13 	3068.33 	20854.27 	37630.52 	10850.91 	20219.97 
10299.33 	1745.33 	1362.67 	1777.01 	1745.33 	1745.33 	1745.33 
4278.17 	940.33 	1100.17 	752.27 	940.33 	940.33 	1747.33 
7305.00 	4583.50 	5113.50 	5844.00 	8643.50 	8643.50 	6394.17 
22194.81 	684.25 	547.40 	355.43 	684.25 	684.25 	684.25 
41222.56 	19813.13 	14438.67 	10829.00 	48243.13 	48243.13 	17160.79 
1347.44 	819.78 	3270.17 	987.93 	1443.87 	2707.44 	3040.92 
312.67 	501.67 	1580.08 	0.00 	38804.17 	772.33 	4422.08 
11259.93 	18036.98 	21663.69 	14841.87 	32399.87 	29443.36 	36704.28 
6047.22 	13729.33 	10983.00 	10983.47 	13729.33 	13729.33 	18732.00 
12796.47 	8212.60 	262.50 	6591.20 	329.00 	329.00 	15299.81 
5696.25 	3198.03 	2462.54 	0.00 	16451.36 	5696.25 	19806.21 
19739.75 	35529.38 	22259.22 	6921.49 	14753.67 	14753.67 	19180.44 
961.33 	1247.17 	0.00 	769.07 	617.75 	961.33 	9659.07 
16580.08 	378.00 	303.33 	290.50 	712.83 	378.00 	378.00 
36231.59 	18647.80 	15852.67 	7638.96 	18973.73 	34010.67 	34010.67 
518.00 	17711.96 	201.00 	1631.78 	518.00 	518.00 	518.00 
95522.78 	49189.47 	45264.80 	28862.40 	8671.22 	56581.00 	56581.00 
3465.00 	7908.87 	97.00 	116.27 	37630.52 	17999.99 	17999.99 
31761.33 	8657.83 	18990.42 	5816.77 	20661.08 	13640.67 	18687.90 
93.33 	13748.04 	112.00 	74.67 	3500.00 	3500.00 	3500.00 
31713.45 	20016.41 	519.75 	511.20 	8726.09 	649.25 	3648.46 
93.33 	93.33 	74.67 	74.67 	8055.83 	93.33 	93.33 
33128.18 	7416.89 	22194.81 	8065.56 	4049.50 	3220.00 	3220.00 
427.00 	3242.17 	1715.33 	3588.98 	812.00 	812.00 	812.00 
301.00 	301.00 	240.33 	12193.16 	301.00 	301.00 	301.00 
23720.53 	15538.48 	20292.36 	7543.51 	17934.00 	17934.00 	16139.51 
3229.33 	22315.22 	2583.00 	2583.47 	15266.03 	14200.67 	3229.33 
1553.48 	2171.75 	931.00 	930.53 	1409.22 	1138.78 	2123.24 
11259.93 	18795.58 	770.00 	423.73 	861.78 	630.00 	1986.70 
434.00 	3356.57 	374.50 	347.20 	434.00 	434.00 	7728.02 
57704.79 	33365.62 	9285.89 	22695.40 	45354.46 	57704.79 	27194.42 
39002.06 	7739.08 	16382.50 	3408.84 	7762.61 	11119.50 	21900.67 
590.33 	590.33 	477.90 	472.27 	590.33 	590.33 	590.33 
235.00 	967.13 	188.00 	2486.23 	235.38 	235.00 	235.00 
34094.28 	29439.87 	29450.94 	17407.39 	48991.69 	55350.75 	46984.00 
23720.53 	12899.25 	17946.10 	16605.98 	12434.55 	10058.69 	15320.35 
2172.33 	7257.83 	3374.00 	16338.51 	4216.33 	4216.33 	3194.33 
1043.00 	18036.98 	721.00 	678.07 	900.67 	1457.65 	900.67 
224.00 	224.00 	178.50 	179.20 	224.00 	224.00 	224.00 
10426.50 	16117.50 	2909.28 	3198.03 	10426.50 	10426.50 	20619.67 
20531.00 	20531.00 	16424.33 	9965.00 	20531.00 	20531.00 	20531.00 
655.67 	490.93 	847.00 	678.07 	1488.67 	1488.67 	1566.44 
5835.67 	5835.67 	4667.83 	4668.53 	3253.83 	5539.33 	5835.67 
4999.05 	10752.31 	1699.83 	350.93 	438.67 	438.67 	9442.13 
112240.33 	109838.33 	23122.04 	128884.00 	161105.00 	43106.00 	161105.00 
21239.00 	12676.00 	9345.44 	9189.20 	15582.83 	34376.50 	23526.25 
443.33 	833.62 	354.67 	310.33 	443.33 	443.33 	443.33 
219.33 	219.33 	175.47 	175.47 	219.33 	219.33 	219.33 
40002.20 	40002.20 	13352.50 	32001.76 	47004.30 	40002.20 	56601.71 
3947.42 	8065.56 	2424.33 	3282.48 	3031.00 	3031.00 	1639.17 
34094.28 	29439.87 	29450.94 	17407.39 	48991.69 	55350.75 	23005.21 
4089.56 	20808.52 	8729.00 	6921.49 	13378.56 	9648.33 	13378.56 
123.08 	31.50 	27.00 	25.20 	31.50 	31.50 	6629.91 
655.67 	490.93 	201.60 	162.63 	1488.67 	1631.78 	1566.44 
25356.58 	1232.23 	130.67 	29439.87 	163.33 	163.33 	2098.32 
23932.17 	10273.90 	19739.75 	5493.60 	12485.67 	12781.13 	19629.52 
15979.64 	17096.93 	4373.83 	9228.68 	5467.00 	7774.67 	6150.67 
4999.05 	7739.08 	1087.33 	507.97 	1355.67 	1355.67 	1355.67 
5680.06 	35529.38 	6863.50 	9151.80 	8270.89 	11984.89 	7477.70 
3773.44 	7372.87 	4133.50 	4132.80 	5166.00 	5166.00 	5166.00 
18646.64 	6458.67 	5166.00 	7969.97 	6458.67 	6458.67 	7461.03 
830.67 	3198.03 	665.00 	664.53 	692.69 	830.67 	830.67 
21237.96 	13084.75 	12702.08 	10467.80 	14010.21 	14020.71 	30539.32 
3465.00 	2371.08 	3571.17 	2473.33 	16985.50 	3091.67 	13839.49 
