吴镇宇	9755.67	任达华	7957.69	思漩	8559.33	无	0	刘浩良	6315.67	?刘浩良	2370.67	杨受成	17710.19
窦骁	9398.41	杨祐宁	8315.83	宋慧乔	5246.6	陈乔恩	16140.76	王安安	713.5	伊能静	1654.8	伊能静	954.56
韩庚	41205.71	沙溢	8240.99	范冰冰?	32413.25	齐溪	7409.72	李玉娇	7280	李玉	16986.67	方励	34400.33
欧豪	18908.75	杨洋	19822.13	陈都灵	46204	马思纯	23099.04	饶雪漫	19802	苏有朋	46204.67	孙永焕	41027
黄晓明	20297.52	佟大为	17814.73	?杨幂	26347	杨颖	35183.53	泳群	22357	杨文军	39124.75	黄晓明	39124.75
张学友	0	张家辉	18367.07	文咏珊	8753.89	冯文娟	9447.2	梁乐民	12964	梁乐民?	22687	管东铫	22687
张孝全	6202.26	柯宇纶	728	梁洛施	910	李心洁?	728	荫山征彦	3274.2	?张艾嘉	910	李松良	910
吴镇宇	9755.67	金范	1322.3	余男	22208	古力娜扎	12049.06	牛朝阳	713	?牛朝阳	1247.75	陆红实	1154.53
何冰	224.88	韩童生	537.6	无	0	无	0	李玉娇?	2765.5	徐昂	672	王鲁娜	16566.38
金帆	2058	郑元畅	1485.12	王丽坤	10976	无	0	曹大伟	882	曹大伟	2058	李颖	2058
品冠	745.5	罗家英	748.43	曾泳醍	704.67	韩宝凛	563.68	畅游	302	邓衍成	704.67	吴奇隆	704.67
吴镇宇	9755.67	马天宇	15313.98	姚星彤	1789.78	李菁	5546.8	王刚	2221	林爱华	6554.04	陈淼淼	3886.75
王海祥	556.5	于荣光	630.93	姚星彤	1789.78	张蓝心	438.64	胡小帅	188.25	宋胤熹	788.67	宋胤熹	788.67
吴京	39670.36	托尼·贾	87358.29	无	0	无	0	梁礼彦	26691	郑保瑞	60833.79	黄柏高	45235.36
孙红雷	5612.44	董子健	4165.78	周冬雨	29736.35	夏天	5157.6	张冀	6953.48	肖洋	6447	陈国富	37133.98
何润东	29034.44	丁春诚	2271.73	张钧甯	10598.23	赖佩霞	2271.68	叶乃菁	1217	陈慧翎	2839.67	李岗	2839.67
秦昊	595.18	郭伟龙	203.47	李梦	9594.67	刘雅瑟	12357.7	谭华	310	谭华	254.33	伊能静	254.33
黄晓明	20297.52	佟大为	17814.73	赵薇	72394.97	艾丽西娅·维拉-贝利	31684.8	林诣彬	16974	蒂姆·肯德尔	39606	林诣彬	39606
彭于晏	17637.32	无	0	陈意涵	7123.73	陈妍希	1937.22	郑芬芬	135	郑芬芬	315	焦雄屏	315
