李灿森,518,钟丽缇,17711.96,柳岩,201,缪俊杰,1631.78,梁德森,518,梁德森,518,梁德森,518
小罗伯特·唐尼,95522.78,盖·皮尔斯,49189.47,格温妮丝·帕特洛,45264.8,丽贝卡·豪尔,28862.4,沙恩·布莱克,8671.22,沙恩·布莱克,56581,凯文·费奇,56581
杜汶泽,3465,罗家英,7908.87,薛凯琪,97,朱咪咪,116.27,王晶,37630.52,王晶,17999.99,王晶,17999.99
汤姆·克鲁斯,31761.33,摩根·弗里曼,8657.83,欧嘉·柯瑞兰寇,18990.42,安德丽亚·瑞斯波罗格,5816.77,约瑟夫·科金斯基,20661.08,约瑟夫·科辛斯基,13640.67,彼得·谢尔尼,18687.9
余男,93.33,邵何之杰,13748.04,于谦,112,乌吉穆,74.67,李欣蔓,3500,李欣蔓,3500,王大维,3500
包贝尔,31713.45,詹瑞文,20016.41,文咏珊,519.75,杨恭如,511.2,文隽,8726.09,钱江汉,649.25,许一顶,3648.46
张默,93.33,张铮,93.33,林逸欣,74.67,张铮,74.67,崔斯韦,8055.83,吕祖松,93.33,吕祖松,93.33
郭富城,33128.18,夏雨,7416.89,桂纶镁,22194.81,秦海璐,8065.56,杨采妮,4049.5,杨采妮,3220,于冬,3220
李梦男,427,潘斌龙,3242.17,谢娜,1715.33,孙宁,3588.98,卢一鸣,812,王钧,812,赵军,812
阿牛,301,朱厚任,301,江若琳,240.33,惠英红,12193.16,洪汐,301,郑建国,301,黄俊淇,301
刘德华,23720.53,佟大为,15538.48,林志玲,20292.36,张静初,7543.51,孙健君,17934,孙健君,17934,赵海城,16139.51
迈克尔·瓦尔坦,3229.33,克利夫·柯蒂斯,22315.22,佐伊·索尔达娜,2583,阿曼德拉·斯坦伯格,2583.47,吕克·贝松,15266.03,奥利维尔·米加顿,14200.67,吕克·贝松,3229.33
黄宗泽,1553.48,谭咏麟,2171.75,徐子珊,931,叶玉卿,930.53,戚家基,1409.22,钟澍佳,1138.78,曾志伟,2123.24
刘烨,11259.93,黄柏钧,18795.58,倪妮,770,张逗逗,423.73,刘恒,861.78,竹卿,630,竹卿,1986.7
黄裕翔,434,纳豆,3356.57,张榕容,374.5,李烈,347.2,李念修,434,张荣吉,434,张康达,7728.02
亨利·卡维尔,57704.79,罗素·克劳,33365.62,艾米·亚当斯,9285.89,阿耶莱特·祖里尔,22695.4,大卫·S·高耶,45354.46,扎克·施奈德,57704.79,克里斯托弗·诺兰,27194.42
文章,39002.06,李连杰,7739.08,刘诗诗,16382.5,陈妍希,3408.84,张炭,7762.61,王子鸣,11119.5,陈志良,21900.67
姜峰,590.33,林子聪,590.33,尼玛颂宋,477.9,雷思颖,472.27,余铁力,590.33,余治林,590.33,何鹏,590.33
黄日华,235,狄龙,967.13,梁咏琪,188,倪虹洁,2486.23,秦天南,235.38,熊欣欣,235,张清源,235
柯震东,34094.28,陈学冬,29439.87,杨幂,29450.94,郭采洁,17407.39,郭敬明,48991.69,郭敬明,55350.75,李力,46984
刘德华,23720.53,郭涛,12899.25,郑秀文,17946.1,高圆圆,16605.98,韦家辉,12434.55,杜琪峰,10058.69,林建岳,15320.35
陈虎,2172.33,基努·李维斯,7257.83,莫文蔚,3374,叶青,16338.51,迈克尔·库尼,4216.33,基努·里维斯,4216.33,利莫尔·塞万,3194.33
戴立忍,1043,翟文斌,18036.98,梁静,721,孔千千,678.07,张艺襦,900.67,赵小溪,1457.65,徐闻,900.67
冉旭,224,代旭,224,张含韵,178.5,吴昱瑶,179.2,刘娟,224,刘娟,224,付佳,224
周杰伦,10426.5,柯有伦,16117.5,李心艾,2909.28,徐帆,3198.03,周杰伦,10426.5,周杰伦,10426.5,穆晓光,20619.67
威尔·史密斯,20531,贾登·史密斯,20531,苏菲·奥康内多,16424.33,佐伊·克拉维兹,9965,加里·威塔,20531,奈特·沙马兰,20531,詹姆士·拉斯特,20531
王一,655.67,翟文斌,490.93,赵奕欢,847,孔千千,678.07,梁潇潇,1488.67,关尔,1488.67,刘鸿,1566.44
张浩然,5835.67,孙绍龙,5835.67,朴寒星,4667.83,辛芷蕾,4668.53,韩景龙,3253.83,安兵基,5539.33,裴琳,5835.67
周渝民,4999.05,曹云金,10752.31,童瑶,1699.83,白羽,350.93,陈迅,438.67,刘国昌,438.67,白羽,9442.13
范·迪塞尔,112240.33,道恩·强森,109838.33,米歇尔·罗德里格兹,23122.04,乔丹娜·布鲁斯特,128884,克里斯·摩根,161105,林诣彬,43106,范·迪塞尔,161105
查宁·塔图姆,21239,杰米·福克斯,12676,玛吉·吉伦哈尔,9345.44,乔伊·金,9189.2,詹姆斯·范德比尔特,15582.83,罗兰·艾默里奇,34376.5,雷德·卡罗林,23526.25
杨骏,443.33,唐宁,833.62,倪慕斯,354.67,李星海,310.33,佟秀玄,443.33,佟秀玄,443.33,上官绘影,443.33
中泉英雄,219.33,聂远,219.33,李纯,175.47,中野良子,175.47,孙祖平,219.33,张鑫,219.33,许建,219.33
查理·汉纳姆,40002.2,伊德瑞斯·艾尔巴,40002.2,菊地凛子,13352.5,芦田爱菜,32001.76,特拉维斯·比彻姆,47004.3,吉尔莫·德尔·托罗,40002.2,乔·贾希尼,56601.71
董子健,3947.42,安悦溪,8065.56,秦海璐,2424.33,焦刚,3282.48,刘杰,3031,刘杰,3031,范从政,1639.17
柯震东,34094.28,陈学冬,29439.87,杨幂,29450.94,郭采洁,17407.39,郭敬明,48991.69,郭敬明,55350.75,安晓芬,23005.21
范冰冰,4089.56,丹尼尔·海尼,20808.52,李治廷,8729,吴佩慈,6921.49,金依萌,13378.56,金依萌,9648.33,金依萌,13378.56
孙维民,123.08,何伟,31.5,郝岩,27,柏青,25.2,田运章,31.5,陈力,31.5,尚书中,6629.91
王一,655.67,董玉峰,490.93,赵奕欢,201.6,莫熙儿,162.63,梁潇潇,1488.67,关尔,1631.78,刘鸿,1566.44
黄晓明,25356.58,阿端,1232.23,徐若瑄,130.67,杨幂,29439.87,朱家麟,163.33,朱家麟,163.33,邱瓈宽,2098.32
张家辉,23932.17,彭于晏,10273.9,李馨巧,19739.75,梅婷,5493.6,吴炜伦,12485.67,林超贤,12781.13,于冬,19629.52
陈晓,15979.64,朱梓骁,17096.93,周冬雨,4373.83,赵丽颖,9228.68,于正,5467,潘安子,7774.67,杜扬,6150.67
周渝民,4999.05,周一围,7739.08,刘诗诗,1087.33,刘芸,507.97,罗诗,1355.67,林孝谦,1355.67,邱黎宽,1355.67
张孝全,5680.06,阿Ken,35529.38,白百何,6863.5,范玮琪,9151.8,黄真真,8270.89,黄真真,11984.89,焦雄屏,7477.7
伊万·麦克格雷格,3773.44,汤姆·赫兰德,7372.87,娜奥米·沃茨,4133.5,杰拉丁·卓别林,4132.8,塞吉奥·G·桑切兹,5166,胡安·安东,5166,阿尔瓦罗·奥古斯丁,5166
莱昂纳多·迪卡普里奥,18646.64,托比·马奎尔,6458.67,凯瑞·穆里根,5166,伊丽莎白·德比齐,7969.97,巴兹·鲁曼,6458.67,巴兹·鲁赫曼,6458.67,露西·费舍尔,7461.03
高天,830.67,张殿伦,3198.03,徐帆,665,金铭,664.53,冯丰,692.69,宋阳,830.67,冯丰,830.67
马特·达蒙,21237.96,沙尔托·科普雷,13084.75,朱迪·福斯特,12702.08,艾莉丝·布拉加,10467.8,尼尔·布洛姆坎普,14010.21,尼尔·布洛姆坎普,14020.71,西蒙·金伯格,30539.32
杜汶泽,3465,高云翔,2371.08,蔡卓妍,3571.17,思漩,2473.33,陈庆嘉,16985.5,冯志强,3091.67,利雅博,13839.49
徐海乔,875,张兆北,875,蒋松,875,郝洋,700,施一凡,875,刘辉,875,刘秦宇,875
立威廉,600.48,方中信,12978.91,李小璐,4280.5,伊能静,465.03,沈东,695.33,沈东,463.17,赵海城,1981.49
言承旭,5936.29,郑元畅,4966.14,陈意涵,1225.47,陈妍希,3408.84,周美玲,366.33,周美玲,366.33,周美玲,366.33
孙红雷,9985.27,郭富城,13748.04,余男,19874.1,邓家佳,3816.46,非行,9972.67,非行,9972.67,肖凯,4398.33
